country,species,year,population,iso3
Belgium,Asses and Mules,1964,0,BEL
Belgium,Asses and Mules,1965,0,BEL
Belgium,Asses and Mules,1966,0,BEL
Belgium,Asses and Mules,1967,0,BEL
Belgium,Asses and Mules,1968,0,BEL
Belgium,Asses and Mules,1969,0,BEL
Belgium,Asses and Mules,1970,0,BEL
Belgium,Asses and Mules,1971,0,BEL
Belgium,Asses and Mules,1972,0,BEL
Belgium,Asses and Mules,1973,0,BEL
Belgium,Asses and Mules,1974,0,BEL
Belgium,Asses and Mules,1975,0,BEL
Belgium,Asses and Mules,1976,0,BEL
Belgium,Asses and Mules,1977,0,BEL
Belgium,Asses and Mules,1978,0,BEL
Belgium,Asses and Mules,1979,0,BEL
Belgium,Asses and Mules,1980,0,BEL
Belgium,Asses and Mules,1981,0,BEL
Belgium,Asses and Mules,1982,440,BEL
Belgium,Asses and Mules,1983,0,BEL
Belgium,Asses and Mules,1984,0,BEL
Belgium,Asses and Mules,1985,0,BEL
Belgium,Asses and Mules,1986,0,BEL
Belgium,Asses and Mules,1987,0,BEL
Belgium,Asses and Mules,1988,0,BEL
Belgium,Asses and Mules,1989,2710,BEL
Belgium,Asses and Mules,1990,2711,BEL
Belgium,Asses and Mules,1991,362,BEL
Belgium,Asses and Mules,1992,6000,BEL
Belgium,Bovines,1973,2896000,BEL
Belgium,Bovines,1974,2889000,BEL
Belgium,Bovines,1975,2805000,BEL
Belgium,Bovines,1976,2823000,BEL
Belgium,Bovines,1977,2823240,BEL
Belgium,Bovines,1978,2869900,BEL
Belgium,Bovines,1979,2893900,BEL
Belgium,Bovines,1980,2896750,BEL
Belgium,Bovines,1981,2858900,BEL
Belgium,Bovines,1982,2896070,BEL
Belgium,Bovines,1983,2957000,BEL
Belgium,Bovines,1984,2988680,BEL
Belgium,Bovines,1985,2944170,BEL
Belgium,Bovines,1986,2967380,BEL
Belgium,Bovines,1987,2950200,BEL
Belgium,Bovines,1988,2966790,BEL
Belgium,Bovines,1989,3049280,BEL
Belgium,Bovines,1990,3146320,BEL
Belgium,Bovines,1991,3105510,BEL
Belgium,Bovines,1992,3099590,BEL
Belgium,Bovines,1993,3084220,BEL
Belgium,Bovines,1994,3161130,BEL
Belgium,Bovines,1995,3158690,BEL
Belgium,Bovines,1996,3070800,BEL
Belgium,Bovines,1997,2978440,BEL
Belgium,Bovines,1998,2984430,BEL
Belgium,Bovines,1999,2970430,BEL
Belgium,Bovines,2000,3001060,BEL
Belgium,Bovines,2001,2907720,BEL
Belgium,Bovines,2002,2758460,BEL
Belgium,Bovines,2003,2684070,BEL
Belgium,Bovines,2004,2656870,BEL
Belgium,Bovines,2005,2603560,BEL
Belgium,Bovines,2006,2606900,BEL
Belgium,Bovines,2007,2573350,BEL
Belgium,Bovines,2008,2538300,BEL
Belgium,Bovines,2009,2535440,BEL
Belgium,Bovines,2010,2509540,BEL
Belgium,Bovines,2011,2471600,BEL
Belgium,Bovines,2012,2438180,BEL
Belgium,Bovines,2013,2441320,BEL
Belgium,Bovines,2014,2477240,BEL
Belgium,Bovines,2015,2503260,BEL
Belgium,Bovines,2016,2501350,BEL
Belgium,Bovines,2017,2385990,BEL
Belgium,Bovines,2018,2398090,BEL
Belgium,Bovines,2019,2373100,BEL
Belgium,Bovines,2020,2335440,BEL
Belgium,Bovines,2021,2310440,BEL
Belgium,Equidae,1963,132000,BEL
Belgium,Equidae,1964,120000,BEL
Belgium,Equidae,1965,109000,BEL
Belgium,Equidae,1966,98000,BEL
Belgium,Equidae,1967,87000,BEL
Belgium,Equidae,1968,81000,BEL
Belgium,Equidae,1969,76000,BEL
Belgium,Equidae,1970,67000,BEL
Belgium,Equidae,1971,60000,BEL
Belgium,Equidae,1972,58000,BEL
Belgium,Equidae,1973,56000,BEL
Belgium,Equidae,1974,53000,BEL
Belgium,Equidae,1975,52000,BEL
Belgium,Equidae,1976,49000,BEL
Belgium,Equidae,1977,44000,BEL
Belgium,Equidae,1978,40000,BEL
Belgium,Equidae,1979,36600,BEL
Belgium,Equidae,1980,33030,BEL
Belgium,Equidae,1981,31490,BEL
Belgium,Equidae,1982,30690,BEL
Belgium,Equidae,1983,28780,BEL
Belgium,Equidae,1984,27540,BEL
Belgium,Equidae,1985,26070,BEL
Belgium,Equidae,1986,24440,BEL
Belgium,Equidae,1987,23140,BEL
Belgium,Equidae,1988,22140,BEL
Belgium,Equidae,1989,21190,BEL
Belgium,Equidae,1990,21189,BEL
Belgium,Equidae,1991,21329,BEL
Belgium,Equidae,1992,21000,BEL
Belgium,Goats,2016,50800,BEL
Belgium,Goats,1963,3000,BEL
Belgium,Goats,1964,3000,BEL
Belgium,Goats,1965,3000,BEL
Belgium,Goats,1966,3000,BEL
Belgium,Goats,1967,3000,BEL
Belgium,Goats,1968,2000,BEL
Belgium,Goats,1969,3000,BEL
Belgium,Goats,1970,3000,BEL
Belgium,Goats,1971,3000,BEL
Belgium,Goats,1972,3000,BEL
Belgium,Goats,1973,4000,BEL
Belgium,Goats,1974,4000,BEL
Belgium,Goats,1975,5000,BEL
Belgium,Goats,1976,6000,BEL
Belgium,Goats,1977,6000,BEL
Belgium,Goats,1978,9000,BEL
Belgium,Goats,1979,6100,BEL
Belgium,Goats,1980,6000,BEL
Belgium,Goats,1981,6000,BEL
Belgium,Goats,1982,7000,BEL
Belgium,Goats,1983,6000,BEL
Belgium,Goats,1984,7090,BEL
Belgium,Goats,1985,7000,BEL
Belgium,Goats,1986,7000,BEL
Belgium,Goats,1987,8400,BEL
Belgium,Goats,1988,8400,BEL
Belgium,Goats,1989,8400,BEL
Belgium,Goats,1990,8400,BEL
Belgium,Goats,1991,9000,BEL
Belgium,Goats,1992,8980,BEL
Belgium,Goats,1993,7550,BEL
Belgium,Goats,1994,8270,BEL
Belgium,Goats,1995,8270,BEL
Belgium,Goats,1996,10670,BEL
Belgium,Goats,1997,10400,BEL
Belgium,Goats,1998,12020,BEL
Belgium,Goats,1999,12890,BEL
Belgium,Goats,2000,16250,BEL
Belgium,Goats,2001,22300,BEL
Belgium,Goats,2002,25020,BEL
Belgium,Goats,2012,35960,BEL
Belgium,Goats,2013,0,BEL
Belgium,Goats,2015,38590,BEL
Belgium,Goats,2019,38590,BEL
Belgium,Horses,1964,120000,BEL
Belgium,Horses,1965,109000,BEL
Belgium,Horses,1966,98000,BEL
Belgium,Horses,1967,87000,BEL
Belgium,Horses,1968,81000,BEL
Belgium,Horses,1969,76000,BEL
Belgium,Horses,1970,67000,BEL
Belgium,Horses,1971,60000,BEL
