country,species,year,population,iso3
Australia,Buffaloes,1991,18623,AUS
Australia,Buffaloes,1992,12992,AUS
Australia,Buffaloes,1993,11372,AUS
Australia,Buffaloes,1994,11563,AUS
Australia,Buffaloes,1995,10880,AUS
Australia,Buffaloes,1996,8850,AUS
Australia,Buffaloes,1997,9440,AUS
Australia,Buffaloes,1998,11248,AUS
Australia,Buffaloes,1999,8520,AUS
Australia,Buffaloes,2000,6130,AUS
Australia,Buffaloes,2001,7327,AUS
Australia,Buffaloes,2002,13609,AUS
Australia,Buffaloes,2003,8598,AUS
Australia,Buffaloes,2004,8359,AUS
Australia,Buffaloes,2005,6207,AUS
Australia,Buffaloes,2006,3247,AUS
Australia,Buffaloes,2007,2655,AUS
Australia,Buffaloes,2008,3262,AUS
Australia,Buffaloes,2009,8550,AUS
Australia,Buffaloes,2010,6479,AUS
Australia,Buffaloes,2011,4414,AUS
Australia,Buffaloes,2012,5089,AUS
Australia,Buffaloes,2013,5089,AUS
Australia,Buffaloes,2014,5089,AUS
Australia,Buffaloes,2015,5089,AUS
Australia,Buffaloes,2016,5152,AUS
Australia,Buffaloes,2017,5152,AUS
Australia,Buffaloes,2018,5152,AUS
Australia,Buffaloes,2019,5152,AUS
Australia,Camels,1990,684,AUS
Australia,Camels,1991,1042,AUS
Australia,Camels,1992,1746,AUS
Australia,Camels,1993,1830,AUS
Australia,Camels,1994,1549,AUS
Australia,Camels,1995,1068,AUS
Australia,Camels,1996,922,AUS
Australia,Camels,1997,1063,AUS
Australia,Camels,1998,1446,AUS
Australia,Camels,1999,1854,AUS
Australia,Camels,2000,2028,AUS
Australia,Camels,2001,2613,AUS
Australia,Camels,2002,2577,AUS
Australia,Camels,2003,2493,AUS
Australia,Camels,2004,1973,AUS
Australia,Camels,2005,1887,AUS
Australia,Camels,2006,1813,AUS
Australia,Camels,2007,2034,AUS
Australia,Camels,2008,2223,AUS
Australia,Camels,2009,2424,AUS
Australia,Camels,2010,2760,AUS
Australia,Camels,2011,3096,AUS
Australia,Camels,2012,3263,AUS
Australia,Camels,2013,3263,AUS
Australia,Camels,2014,3263,AUS
Australia,Camels,2015,3263,AUS
Australia,Camels,2016,2759,AUS
Australia,Camels,2017,2759,AUS
Australia,Camels,2018,2759,AUS
Australia,Camels,2019,2759,AUS
Australia,"Cattle, dairy",1990,2561935,AUS
Australia,"Cattle, dairy",1991,2496951,AUS
Australia,"Cattle, dairy",1992,2500451,AUS
Australia,"Cattle, dairy",1993,2531871,AUS
Australia,"Cattle, dairy",1994,2677639,AUS
Australia,"Cattle, dairy",1995,2740094,AUS
Australia,"Cattle, dairy",1996,2808028,AUS
Australia,"Cattle, dairy",1997,2959272,AUS
Australia,"Cattle, dairy",1998,3075728,AUS
Australia,"Cattle, dairy",1999,3219825,AUS
Australia,"Cattle, dairy",2000,3140355,AUS
Australia,"Cattle, dairy",2001,3217287,AUS
Australia,"Cattle, dairy",2002,3135335,AUS
Australia,"Cattle, dairy",2003,3057026,AUS
Australia,"Cattle, dairy",2004,3067711,AUS
Australia,"Cattle, dairy",2005,3073032,AUS
Australia,"Cattle, dairy",2006,2788483,AUS
Australia,"Cattle, dairy",2007,2663670,AUS
Australia,"Cattle, dairy",2008,2537029,AUS
Australia,"Cattle, dairy",2009,2612285,AUS
Australia,"Cattle, dairy",2010,2542359,AUS
Australia,"Cattle, dairy",2011,2569991,AUS
Australia,"Cattle, dairy",2012,2733190,AUS
Australia,"Cattle, dairy",2013,2833865,AUS
Australia,"Cattle, dairy",2014,2807174,AUS
Australia,"Cattle, dairy",2015,2810595,AUS
Australia,"Cattle, dairy",2016,2742928,AUS
Australia,"Cattle, dairy",2017,2681404,AUS
Australia,"Cattle, dairy",2018,2703882,AUS
Australia,"Cattle, dairy",2019,2410219,AUS
Australia,"Cattle, non-dairy",1990,22276297,AUS
Australia,"Cattle, non-dairy",1991,22884140,AUS
Australia,"Cattle, non-dairy",1992,22825894,AUS
Australia,"Cattle, non-dairy",1993,22648331,AUS
Australia,"Cattle, non-dairy",1994,23079978,AUS
Australia,"Cattle, non-dairy",1995,22991127,AUS
Australia,"Cattle, non-dairy",1996,23569321,AUS
Australia,"Cattle, non-dairy",1997,23736473,AUS
Australia,"Cattle, non-dairy",1998,23775740,AUS
Australia,"Cattle, non-dairy",1999,23358072,AUS
Australia,"Cattle, non-dairy",2000,24448041,AUS
Australia,"Cattle, non-dairy",2001,24503314,AUS
Australia,"Cattle, non-dairy",2002,24858494,AUS
Australia,"Cattle, non-dairy",2003,23844313,AUS
Australia,"Cattle, non-dairy",2004,24768584,AUS
Australia,"Cattle, non-dairy",2005,25205945,AUS
Australia,"Cattle, non-dairy",2006,25605492,AUS
Australia,"Cattle, non-dairy",2007,25373218,AUS
Australia,"Cattle, non-dairy",2008,24784093,AUS
Australia,"Cattle, non-dairy",2009,25294480,AUS
Australia,"Cattle, non-dairy",2010,24007730,AUS
Australia,"Cattle, non-dairy",2011,25936180,AUS
Australia,"Cattle, non-dairy",2012,25685232,AUS
Australia,"Cattle, non-dairy",2013,26456905,AUS
Australia,"Cattle, non-dairy",2014,26295780,AUS
Australia,"Cattle, non-dairy",2015,24602276,AUS
Australia,"Cattle, non-dairy",2016,24270743,AUS
Australia,"Cattle, non-dairy",2017,24911238,AUS
Australia,"Cattle, non-dairy",2018,25139500,AUS
Australia,"Cattle, non-dairy",2019,23695647,AUS
Australia,Goats,1990,660600,AUS
Australia,Goats,1991,530476,AUS
Australia,Goats,1992,411322,AUS
Australia,Goats,1993,286127,AUS
Australia,Goats,1994,231567,AUS
Australia,Goats,1995,132819,AUS
Australia,Goats,1996,154545,AUS
Australia,Goats,1997,176359,AUS
Australia,Goats,1998,218947,AUS
Australia,Goats,1999,193464,AUS
Australia,Goats,2000,327373,AUS
Australia,Goats,2001,391118,AUS
Australia,Goats,2002,386697,AUS
Australia,Goats,2003,485780,AUS
Australia,Goats,2004,594686,AUS
Australia,Goats,2005,461495,AUS
Australia,Goats,2006,517668,AUS
Australia,Goats,2007,518024,AUS
Australia,Goats,2008,622857,AUS
Australia,Goats,2009,727690,AUS
Australia,Goats,2010,513268,AUS
Australia,Goats,2011,546614,AUS
Australia,Goats,2012,516143,AUS
Australia,Goats,2013,516143,AUS
Australia,Goats,2014,516143,AUS
Australia,Goats,2015,516143,AUS
Australia,Goats,2016,460324,AUS
Australia,Goats,2017,460324,AUS
Australia,Goats,2018,460324,AUS
Australia,Goats,2019,460324,AUS
Australia,Horses,1990,359270,AUS
Australia,Horses,1991,347014,AUS
Australia,Horses,1992,334767,AUS
Australia,Horses,1993,314833,AUS
Australia,Horses,1994,294353,AUS
Australia,Horses,1995,237685,AUS
Australia,Horses,1996,235093,AUS
Australia,Horses,1997,233964,AUS
Australia,Horses,1998,233337,AUS
Australia,Horses,1999,215398,AUS
Australia,Horses,2000,212073,AUS
Australia,Horses,2001,223998,AUS
Australia,Horses,2002,204265,AUS
Australia,Horses,2003,231160,AUS
Australia,Horses,2004,219148,AUS
Australia,Horses,2005,221043,AUS
Australia,Horses,2006,257123,AUS
Australia,Horses,2007,263293,AUS
Australia,Horses,2008,259854,AUS
Australia,Horses,2009,256415,AUS
Australia,Horses,2010,257967,AUS
Australia,Horses,2011,259466,AUS
Australia,Horses,2012,254218,AUS
Australia,Horses,2013,254218,AUS
Australia,Horses,2014,254218,AUS
Australia,Horses,2015,254218,AUS
Australia,Horses,2016,222530,AUS
Australia,Horses,2017,222530,AUS
Australia,Horses,2018,222530,AUS
Australia,Horses,2019,222530,AUS
Australia,Sheep,1990,173738038,AUS
Australia,Sheep,1991,166526407,AUS
Australia,Sheep,1992,150960821,AUS
Australia,Sheep,1993,140530997,AUS
